show_id,title,director,genres,cast,production_country,release_year,rating,duration,imdb_score,content_type,date_added
5ff9c289-5579-40af-937b-bbe81b229851,Even the Rain,Icíar Bollaín,International Movies,"Luis Tosar, Gael García Bernal, Juan Carlos Aduviri, Karra Elejalde, Raúl Arévalo, Carlos Santos, Cassandra Ciangherotti, Milena Soliz, Leónidas Chiri, Vicente Romero, Daniel Currás, Pau Cólera","Spain, Mexico, France",2010,TV-MA,103 min,7.3,Movie,2011-05-17
d01cd23b-480e-44c2-8640-32074f1159af,Evening Shadows,Sridhar Rangayan,Dramas,"Mona Ambegaonkar, Anant Mahadevan, Devansh Doshi, Arpit Chaudhary, Yamini Singh, Abhay Kulkarni, Veena Nair, Disha Thakur",India,2018,TV-PG,102 min,7.0,Movie,2019-02-27
d01cd23b-480e-44c2-8640-32074f1159af,Evening Shadows,Sridhar Rangayan,Independent Movies,"Mona Ambegaonkar, Anant Mahadevan, Devansh Doshi, Arpit Chaudhary, Yamini Singh, Abhay Kulkarni, Veena Nair, Disha Thakur",India,2018,TV-PG,102 min,7.0,Movie,2019-02-27
d01cd23b-480e-44c2-8640-32074f1159af,Evening Shadows,Sridhar Rangayan,International Movies,"Mona Ambegaonkar, Anant Mahadevan, Devansh Doshi, Arpit Chaudhary, Yamini Singh, Abhay Kulkarni, Veena Nair, Disha Thakur",India,2018,TV-PG,102 min,7.0,Movie,2019-02-27
7f785eef-5d1c-4784-b900-724f429f7efe,Ever After High,,Kids' TV,"Jonquil Goode, Karen Strassman, Audu Paden, Julie Maddalena, Marieve Herington, Rena Strober, Evan Smith, Wendee Lee, Haviland Stillwell, Valerie Arem, Cam Clarke, Colleen Foy, Cindy Robinson, Joe Sanfelippo, Jamieson Price, Debi Derryberry, Lindsey Ames, Rajo Zakic, Erin Fitzgerald, Malcolm Danare",Canada,2016,TV-Y7,5 Seasons,7.9,TV Show,2020-08-06
ebf59824-49c4-4e65-adac-f105b4c61aad,Every Time I Die,Robi Michael,Dramas,"Drew Fonteiro, Marc Menchaca, Michelle Macedo, Tyler Fleming, Melissa Macedo, Kenneth Moronta, Frankie Hinton",United States,2019,TV-MA,98 min,5.0,Movie,2020-02-25
ebf59824-49c4-4e65-adac-f105b4c61aad,Every Time I Die,Robi Michael,Independent Movies,"Drew Fonteiro, Marc Menchaca, Michelle Macedo, Tyler Fleming, Melissa Macedo, Kenneth Moronta, Frankie Hinton",United States,2019,TV-MA,98 min,5.0,Movie,2020-02-25
ebf59824-49c4-4e65-adac-f105b4c61aad,Every Time I Die,Robi Michael,Thrillers,"Drew Fonteiro, Marc Menchaca, Michelle Macedo, Tyler Fleming, Melissa Macedo, Kenneth Moronta, Frankie Hinton",United States,2019,TV-MA,98 min,5.0,Movie,2020-02-25
0cb2054c-6798-457e-b8d0-ec96215bce8c,Everybody's Fine,Kirk Jones,Dramas,"Robert De Niro, Drew Barrymore, Kate Beckinsale, Sam Rockwell, Lucien Maisel, Damian Young, James Frain, Melissa Leo, Katherine Moennig, Brendan Sexton III, James Murtaugh",United States,2009,PG-13,100 min,7.0,Movie,2021-06-02
7efe1dd5-6dc1-4b4d-8377-4acf0a44a964,Everyday I Love You,Mae Czarina Cruz,Dramas,"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena",Philippines,2015,TV-14,124 min,7.2,Movie,2019-03-04
7efe1dd5-6dc1-4b4d-8377-4acf0a44a964,Everyday I Love You,Mae Czarina Cruz,International Movies,"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena",Philippines,2015,TV-14,124 min,7.2,Movie,2019-03-04
7efe1dd5-6dc1-4b4d-8377-4acf0a44a964,Everyday I Love You,Mae Czarina Cruz,Romantic Movies,"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena",Philippines,2015,TV-14,124 min,7.2,Movie,2019-03-04
19ae75a7-6189-43d6-a4e5-03f9a0886930,Everyday Miracles,,British TV Shows,Mark Miodownik,United Kingdom,2014,TV-PG,1 Season,7.2,TV Show,
19ae75a7-6189-43d6-a4e5-03f9a0886930,Everyday Miracles,,Docuseries,Mark Miodownik,United Kingdom,2014,TV-PG,1 Season,7.2,TV Show,
19ae75a7-6189-43d6-a4e5-03f9a0886930,Everyday Miracles,,International TV Shows,Mark Miodownik,United Kingdom,2014,TV-PG,1 Season,7.2,TV Show,
